_ID_;_MAIN_CATEGORY_;_NAME_;_MODEL_;_MANUFACTURER_;_PRICE_;_HTML_TITLE_;_HTML_H1_;_DESCRIPTION_;_IMAGE_;_SEO_KEYWORD_;_IMAGES_;
400;Цветы поштучно|Импортная роза;Роза Freedom;;;62;Импортная роза - Роза Freedom;;;data/1000.jpg;;;
401;Цветы поштучно|Импортная роза;Роза Mondial;;;62;Импортная роза - Роза Mondial;;;data/1001.jpg;;;
402;Цветы поштучно|Импортная роза;Роза Topaz;;;62;Импортная роза - Роза Topaz;;;data/1002.jpg;;;
403;Цветы поштучно|Импортная роза;Роза Sweetness;;;65;Импортная роза - Роза Sweetness;;;data/1003.jpg;;;
404;Цветы поштучно|Импортная роза;Роза Forever Young;;;62;Импортная роза - Роза Forever Young;;;data/1004.jpg;;;
405;Цветы поштучно|Импортная роза;Роза Dolce Vita;;;65;Импортная роза - Роза Dolce Vita;;;data/1005.jpg;;;
406;Цветы поштучно|Импортная роза;Роза Iguana;;;65;Импортная роза - Роза Iguana;;;data/1006.jpg;;;
407;Цветы поштучно|Импортная роза;Роза Polar Star;;;62;Импортная роза - Роза Polar Star;;;data/1007.jpg;;;
408;Цветы поштучно|Украинская роза;Роза Гран При;;;45;Украинская роза - Роза Гран При;;;data/1008.jpg;;data/1009.png;
409;Цветы поштучно|Украинская роза;Роза Аваланч;;;43;Украинская роза - Роза Аваланч;;;data/1010.jpg;;data/1011.png;
410;Цветы поштучно|Украинская роза;Роза Аква;;;43;Украинская роза - Роза Аква;;;data/1012.jpg;;data/1013.jpg;
411;Цветы поштучно|Украинская роза;Роза Вау;;;43;Украинская роза - Роза Вау;;;data/1014.jpg;;data/1015.png;
412;Цветы поштучно|Украинская роза;Роза Талея;;;43;Украинская роза - Роза Талея;;;data/1016.jpeg;;data/1017.png;
413;Цветы поштучно|Украинская роза;Роза Эль Торо;;;45;Украинская роза - Роза Эль Торо;;;data/1018.jpg;;data/1019.jpeg;
